x,y,yaw,road_id,lane_id
258.340698,-141.709,-1.56771145,28,-1
258.343781,-142.709,-1.56771145,28,-1
258.346863,-143.709,-1.56771145,28,-1
258.349945,-144.708984,-1.56771145,28,-1
258.353027,-145.708984,-1.56771145,28,-1
258.35611,-146.708984,-1.56771145,28,-1
258.359192,-147.708969,-1.56771145,28,-1
258.362305,-148.708969,-1.56771145,28,-1
258.365387,-149.708969,-1.56771145,28,-1
258.368469,-150.708954,-1.56771145,28,-1
258.371552,-151.708954,-1.56771145,28,-1
258.374634,-152.708954,-1.56771145,28,-1
258.377716,-153.708954,-1.56771145,28,-1
258.380798,-154.708939,-1.56771145,28,-1
258.383881,-155.708939,-1.56771145,28,-1
258.386963,-156.708939,-1.56771145,28,-1
258.390045,-157.708923,-1.56771145,28,-1
258.393127,-158.708923,-1.56771145,28,-1
258.39917,-160.668915,-1.56771145,828,-1
258.402252,-161.668915,-7.85089663,797,-1
258.405365,-162.6689,-7.85089663,797,-1
258.408447,-163.6689,-7.85089663,797,-1
258.41153,-164.6689,-7.85089663,797,-1
258.414612,-165.668884,-7.85089663,797,-1
258.417694,-166.668884,-7.85089663,797,-1
258.420776,-167.668884,-7.85089663,797,-1
258.423859,-168.668869,-7.85089663,797,-1
258.426941,-169.668869,-7.85089663,797,-1
258.430023,-170.668869,-7.85089663,797,-1
258.433105,-171.668869,-7.85089663,797,-1
258.436188,-172.668854,-7.85089663,797,-1
258.43927,-173.668854,-7.85089663,797,-1
258.442352,-174.668854,-7.85089663,797,-1
258.445435,-175.668839,-7.85089663,797,-1
258.448517,-176.668839,-7.85089663,797,-1
258.451599,-177.668839,-7.85089663,797,-1
258.454681,-178.668823,-7.85089663,797,-1
258.460022,-180.388824,-1.56771145,29,-1
258.463104,-181.388824,-1.56771145,29,-1
258.466187,-182.388809,-1.56771145,29,-1
258.469269,-183.388809,-1.56771145,29,-1
258.472351,-184.388809,-1.56771145,29,-1
258.475433,-185.388794,-1.56771145,29,-1
258.478516,-186.388794,-1.56771145,29,-1
258.481628,-187.388794,-1.56771145,29,-1
258.484711,-188.388794,-1.56771145,29,-1
258.487793,-189.388779,-1.56771145,29,-1
258.490875,-190.388779,-1.56771145,29,-1
258.493958,-191.388779,-1.56771145,29,-1
